id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,liveness,language
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,88,2020,0.02,0.12,english
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020,0.85,0.08,instrumental
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,74,2010,0.05,0.35,english
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,60,2020,0.90,0.10,instrumental
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,91,2020,0.03,0.15,english
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,45,2010,0.95,0.06,instrumental
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,52,2000,0.75,0.40,instrumental
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,70,2010,0.55,0.14,english
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,63,2020,0.88,0.07,instrumental
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,72,2010,0.10,0.25,english
11,Concrete Kingdom,Rhyme Atlas,hip hop,energetic,0.81,95,0.70,0.86,0.08,84,2020,0.04,0.20,english
12,Winter Elegy,Aria Soltane,classical,melancholic,0.30,60,0.24,0.19,0.95,48,1990,0.98,0.30,instrumental
13,Pulse Reactor,Voltage Kids,edm,euphoric,0.96,128,0.82,0.93,0.02,89,2020,0.30,0.18,english
14,Island Time,Golden Tide,reggae,uplifting,0.55,90,0.86,0.76,0.34,68,2000,0.15,0.45,english
15,Ironclad,Blackforge,metal,aggressive,0.98,164,0.29,0.44,0.03,66,2010,0.08,0.55,english
16,Dusty Backroads,Hank Willow,country,nostalgic,0.49,100,0.61,0.54,0.72,58,1990,0.12,0.38,english
17,Groove Machine,The Funk Collective,funk,playful,0.80,112,0.89,0.91,0.14,71,1980,0.20,0.50,english
18,Rainy Bar Blues,Delta Mae,blues,sad,0.39,76,0.28,0.41,0.66,55,1980,0.25,0.60,english
